date,close,,,Fake date
9-Aug-14,68.78,,,9-Aug-05
2-Aug-14,67.9,,,2-Aug-05
26-Jul-14,68.21,,,26-Jul-05
19-Jul-14,53.18,,,19-Jul-05
12-Jul-14,40.44,,,12-Jul-05
5-Jul-14,40.22,,,5-Jul-05
28-Jun-14,41.95,,,28-Jun-05
21-Jun-14,40.26,,,21-Jun-05
14-Jun-14,40.2,,,14-Jun-05
7-Jun-14,53.83,,,7-Jun-05
31-May-14,60.89,,,31-May-05
24-May-14,60.15,,,24-May-05
17-May-14,55.13,,,17-May-05
10-May-14,68.66,,,10-May-05
3-May-14,67.44,,,3-May-05
26-Apr-14,60.8,,,26-Apr-05
19-Apr-14,60.68,,,19-Apr-05
12-Apr-14,59.29,,,12-Apr-05
5-Apr-14,67.27,,,5-Apr-05
29-Mar-14,70.71,,,29-Mar-05
22-Mar-14,71.12,,,22-Mar-05
15-Mar-14,71.12,,,15-Mar-05
8-Mar-14,71.12,,,8-Mar-05
1-Mar-14,70.32,,,1-Mar-05
22-Feb-14,70.32,,,22-Feb-05
15-Feb-14,69.84,,,15-Feb-05
8-Feb-14,68.6,,,8-Feb-05
1-Feb-14,70.57,,,1-Feb-05
25-Jan-14,70.57,,,25-Jan-05
18-Jan-14,68.11,,,18-Jan-05
11-Jan-14,67.85,,,11-Jan-05
4-Jan-14,67.97,,,4-Jan-05
28-Dec-14,67.97,,,28-Dec-04
21-Dec-14,67.42,,,21-Dec-04
14-Dec-14,66.15,,,14-Dec-04
7-Dec-14,66.15,,,7-Dec-04
30-Nov-14,66.15,,,30-Nov-04
23-Nov-14,66.2,,,23-Nov-04
16-Nov-14,66.2,,,16-Nov-04
9-Nov-14,66.87,,,9-Nov-04
2-Nov-14,65.87,,,2-Nov-04
26-Oct-14,66.8,,,26-Oct-04
19-Oct-14,68.35,,,19-Oct-04
12-Oct-14,67.68,,,12-Oct-04
5-Oct-14,69.52,,,5-Oct-04
28-Sep-14,63.47,,,28-Sep-04
21-Sep-14,73.82,,,21-Sep-04
14-Sep-14,74.25,,,14-Sep-04
7-Sep-14,67.35,,,7-Sep-04
31-Aug-14,69.71,,,31-Aug-04
24-Aug-14,68.17,,,24-Aug-04
17-Aug-14,74.56,,,17-Aug-04
10-Aug-14,72.67,,,10-Aug-04
3-Aug-14,75.65,,,3-Aug-04
27-Jul-14,69.91,,,27-Jul-04
20-Jul-14,74.67,,,20-Jul-04
13-Jul-14,71.89,,,13-Jul-04
6-Jul-14,71.89,,,6-Jul-04
29-Jun-14,71.42,,,29-Jun-04
22-Jun-14,72.67,,,22-Jun-04
15-Jun-14,75.52,,,15-Jun-04
8-Jun-14,77.82,,,8-Jun-04
1-Jun-14,77.71,,,1-Jun-04
25-May-14,82.3,,,25-May-04
18-May-14,83.81,,,18-May-04
11-May-14,87.2,,,11-May-04
4-May-14,88.16,,,4-May-04
27-Apr-14,87.88,,,27-Apr-04
20-Apr-14,88.02,,,20-Apr-04
13-Apr-14,88,,,13-Apr-04
6-Apr-14,88,,,6-Apr-04
30-Mar-14,87.89,,,30-Mar-04
23-Mar-14,90.67,,,23-Mar-04
16-Mar-14,90.67,,,16-Mar-04
9-Mar-14,91.35,,,9-Mar-04
2-Mar-14,95.26,,,2-Mar-04
24-Feb-14,95.28,,,24-Feb-04
17-Feb-14,95.28,,,17-Feb-04
10-Feb-14,95.13,,,10-Feb-04
3-Feb-14,95.4,,,3-Feb-04
27-Jan-14,95.4,,,27-Jan-04
20-Jan-14,95.3,,,20-Jan-04
13-Jan-14,95.2,,,13-Jan-04
6-Jan-14,95.74,,,6-Jan-04
30-Dec-14,95.77,,,30-Dec-03
23-Dec-14,96.14,,,23-Dec-03
16-Dec-14,95.22,,,16-Dec-03
9-Dec-14,96.11,,,9-Dec-03
2-Dec-14,96.18,,,2-Dec-03
25-Nov-14,96.44,,,25-Nov-03
18-Nov-14,96.51,,,18-Nov-03
11-Nov-14,96.5,,,11-Nov-03
4-Nov-14,96.37,,,4-Nov-03
28-Oct-14,96.42,,,28-Oct-03
21-Oct-14,96.54,,,21-Oct-03
14-Oct-14,96.55,,,14-Oct-03
7-Oct-14,96.8,,,7-Oct-03
30-Sep-14,98.05,,,30-Sep-03
23-Sep-14,97.95,,,23-Sep-03
16-Sep-14,97.75,,,16-Sep-03
9-Sep-14,100,,,9-Sep-03
2-Sep-14,100,,,2-Sep-03
26-Aug-14,100,,,26-Aug-03
19-Aug-14,100,,,19-Aug-03
12-Aug-14,86.59,,,12-Aug-03
5-Aug-14,87.7,,,5-Aug-03
29-Jul-14,82.79,,,29-Jul-03
22-Jul-14,81.59,,,22-Jul-03
15-Jul-14,78.24,,,15-Jul-03
8-Jul-14,61.78,,,8-Jul-03
1-Jul-14,55.52,,,1-Jul-03
24-Jun-14,61.96,,,24-Jun-03
17-Jun-14,71.92,,,17-Jun-03
10-Jun-14,74.07,,,10-Jun-03
3-Jun-14,77.16,,,3-Jun-03
27-May-14,78.45,,,27-May-03
20-May-14,77.37,,,20-May-03
13-May-14,81.48,,,13-May-03
6-May-14,88.59,,,6-May-03
29-Apr-14,91.65,,,29-Apr-03
22-Apr-14,91.81,,,22-Apr-03
15-Apr-14,93.43,,,15-Apr-03
8-Apr-14,92.7,,,8-Apr-03
1-Apr-14,93.38,,,1-Apr-03
